"Year","Jurisdiction","Camera Fines","Camera Arrests","Camera Charges","Police Fines","Police Arrests","Police Charges","Other Fines","Other Arrests","Other Charges","Unknown Fines","Unknown Arrests","Unknown Charges","Total Fines"
"2018","WA",573664,0,0,115534,0,0,0,0,0,0,0,0,689198
"2019","ACT",59330,0,0,0,0,0,0,0,0,0,0,0,59330
"2019","NSW",442556,0,0,216237,0,0,0,0,0,0,0,0,658793
"2019","NT",27208,0,0,12292,0,0,0,0,0,0,0,0,39500
"2019","QLD",886731,0,0,155049,0,0,0,0,0,0,0,0,1041780
"2019","SA",202914,0,0,0,0,0,0,0,0,0,0,0,202914
"2019","TAS",6738,0,0,0,0,0,0,0,0,0,0,0,6738
"2019","VIC",1004679,0,0,0,0,0,0,0,0,0,0,0,1004679
"2019","WA",580734,0,0,102262,0,0,0,0,0,0,0,0,682996
"2020","ACT",57612,0,0,0,0,0,0,0,0,0,0,0,57612
"2020","NSW",707453,0,0,207863,0,0,0,0,0,0,0,0,915316
"2020","NT",33009,0,0,7912,0,0,0,0,0,0,0,0,40921
"2020","QLD",779069,0,0,131789,0,0,0,0,0,0,0,0,910858
"2020","SA",175237,0,0,0,0,0,0,0,0,0,0,0,175237
"2020","TAS",5430,0,0,35321,0,0,0,0,0,0,0,0,40751
"2020","VIC",937192,0,0,0,0,0,0,0,0,0,0,0,937192
"2020","WA",595363,0,0,100223,0,0,0,0,0,0,0,0,695586
"2021","ACT",113807,0,0,0,0,0,0,0,0,0,0,0,113807
"2021","NSW",1273155,0,0,179465,0,0,0,0,0,0,0,0,1452620
"2021","NT",31997,0,0,6651,0,0,0,0,0,0,0,0,38648
"2021","QLD",865513,0,0,113413,0,0,0,0,0,0,0,0,978926
"2021","SA",202693,0,0,0,0,0,0,0,0,0,0,0,202693
"2021","TAS",4244,0,0,34984,0,0,0,0,0,0,0,0,39228
"2021","VIC",1231672,0,0,0,0,0,0,0,0,0,0,0,1231672
"2021","WA",734701,0,0,74843,0,0,0,0,0,0,0,0,809544
"2022","NSW",1053321,0,0,164275,0,0,0,0,0,0,0,0,1217596
"2022","NT",27390,0,0,6252,0,0,0,0,0,0,0,0,33642
"2022","QLD",777226,0,0,72173,0,0,0,0,0,0,0,0,849399
"2022","SA",157432,0,0,28764,0,0,0,0,0,0,0,0,186196
"2022","TAS",14023,0,0,28714,0,0,0,0,0,0,0,0,42737
"2022","VIC",1255302,0,0,122929,0,0,0,0,0,0,0,0,1378231
"2022","WA",775750,0,0,67791,0,0,0,0,0,0,0,0,843541
"2023","ACT",69726,0,0,2235,0,0,0,0,0,0,0,0,71961
"2023","NSW",705834,0,0,175649,0,1393,0,0,0,0,0,0,881483
"2023","NT",39863,0,0,3443,44,215,0,0,0,0,0,0,43306
"2023","QLD",743514,0,0,117112,0,0,0,0,0,0,0,0,860626
"2023","SA",155362,0,0,48236,102,282,4,0,0,0,0,0,203602
"2023","TAS",45406,0,0,19634,0,361,0,0,0,0,0,0,65040
"2023","VIC",1176168,0,0,126460,0,0,0,0,0,0,0,0,1302628
"2023","WA",756557,0,0,50930,0,0,0,0,0,0,13,1557,807487
"2024","ACT",66065,0,0,2781,10,84,0,0,0,0,0,0,68846
"2024","NSW",718805,0,0,186866,0,1539,0,0,0,1,0,0,905672
"2024","NT",44299,0,0,3756,0,0,0,41,292,0,0,0,48055
"2024","QLD",682685,0,0,112198,0,0,0,0,0,0,0,0,794883
"2024","SA",130226,0,0,54354,93,346,1,0,0,0,0,0,184581
"2024","TAS",54911,0,0,20082,0,398,0,0,0,0,0,0,74993
"2024","VIC",665807,0,0,107663,0,0,0,0,0,0,0,0,773470
"2024","WA",416446,0,0,56387,0,0,0,0,0,0,23,1685,472833
